region_id,day,region,label,reference_count,model_count,true_positive,false_positive,false_negative,precision,recall,f1,tolerance_px
day-2-region-1,2,1,live,89,119,85,34,4,0.7143,0.9551,0.8173,5.0
day-2-region-1,2,1,dead,28,40,15,25,13,0.375,0.5357,0.4412,5.0
day-2-region-2,2,2,live,86,104,82,22,4,0.7885,0.9535,0.8632,5.0
day-2-region-2,2,2,dead,24,14,7,7,17,0.5,0.2917,0.3684,5.0
day-8-region-1,8,1,live,56,66,51,15,5,0.7727,0.9107,0.8361,5.0
day-8-region-1,8,1,dead,18,13,9,4,9,0.6923,0.5,0.5806,5.0
day-8-region-2,8,2,live,36,30,28,2,8,0.9333,0.7778,0.8485,5.0
day-8-region-2,8,2,dead,17,10,7,3,10,0.7,0.4118,0.5185,5.0
day-12-region-1,12,1,live,74,55,53,2,21,0.9636,0.7162,0.8217,5.0
day-12-region-1,12,1,dead,9,6,6,0,3,1.0,0.6667,0.8,5.0
day-12-region-2,12,2,live,56,42,41,1,15,0.9762,0.7321,0.8367,5.0
day-12-region-2,12,2,dead,10,4,4,0,6,1.0,0.4,0.5714,5.0
ALL,,,live,397,416,340,76,57,0.8173,0.8564,0.8364,5.0
ALL,,,dead,106,87,48,39,58,0.5517,0.4528,0.4974,5.0
