"region_id","day","region","label","x_in_crop","y_in_crop","x_in_source","y_in_source"
"day-2-region-1","2","1","live","4.04","8.64","34.04","88.64"
"day-2-region-1","2","1","live","14.98","6.25","44.98","86.25"
"day-2-region-1","2","1","live","22.46","1.3","52.46","81.3"
"day-2-region-1","2","1","live","27.1","13.88","57.1","93.88"
"day-2-region-1","2","1","live","16.92","15.38","46.92","95.38"
"day-2-region-1","2","1","live","13.93","23.32","43.93","103.32"
"day-2-region-1","2","1","live","13.33","31.7","43.33","111.7"
"day-2-region-1","2","1","live","5.54","39.04","35.54","119.04"
"day-2-region-1","2","1","live","1.35","41.59","31.35","121.59"
"day-2-region-1","2","1","live","1.35","48.77","31.35","128.77"
"day-2-region-1","2","1","live","16.17","36.79","46.17","116.79"
"day-2-region-1","2","1","live","3.44","58.36","33.44","138.36"
"day-2-region-1","2","1","live","12.43","47.88","42.43","127.88"
"day-2-region-1","2","1","live","8.84","72.88","38.84","152.88"
"day-2-region-1","2","1","live","3.14","74.53","33.14","154.53"
"day-2-region-1","2","1","live","16.47","76.33","46.47","156.33"
"day-2-region-1","2","1","live","26.36","72.43","56.36","152.43"
"day-2-region-1","2","1","live","22.61","68.69","52.61","148.69"
"day-2-region-1","2","1","live","27.7","60.01","57.7","140.01"
"day-2-region-1","2","1","live","30.7","63.75","60.7","143.75"
"day-2-region-1","2","1","live","33.24","52.52","63.24","132.52"
"day-2-region-1","2","1","live","31","46.83","61","126.83"
"day-2-region-1","2","1","live","38.49","45.78","68.49","125.78"
"day-2-region-1","2","1","live","33.54","40.54","63.54","120.54"
"day-2-region-1","2","1","live","30.25","30.5","60.25","110.5"
"day-2-region-1","2","1","live","26.81","24.22","56.81","104.22"
"day-2-region-1","2","1","live","27.85","18.67","57.85","98.67"
"day-2-region-1","2","1","live","33.24","22.42","63.24","102.42"
"day-2-region-1","2","1","live","32.5","4.15","62.5","84.15"
"day-2-region-1","2","1","live","46.57","5.05","76.57","85.05"
"day-2-region-1","2","1","live","45.07","12.98","75.07","92.98"
"day-2-region-1","2","1","live","42.83","18.67","72.83","98.67"
"day-2-region-1","2","1","live","50.32","30.65","80.32","110.65"
"day-2-region-1","2","1","live","47.47","34.55","77.47","114.55"
"day-2-region-1","2","1","live","46.57","40.99","76.57","120.99"
"day-2-region-1","2","1","live","48.67","48.32","78.67","128.32"
"day-2-region-1","2","1","live","47.32","54.17","77.32","134.17"
"day-2-region-1","2","1","live","53.16","62.85","83.16","142.85"
"day-2-region-1","2","1","live","53.16","66.74","83.16","146.74"
"day-2-region-1","2","1","live","55.11","52.52","85.11","132.52"
"day-2-region-1","2","1","live","55.86","42.63","85.86","122.63"
"day-2-region-1","2","1","live","59.3","30.5","89.3","110.5"
"day-2-region-1","2","1","live","56.16","25.41","86.16","105.41"
"day-2-region-1","2","1","live","61.7","24.81","91.7","104.81"
"day-2-region-1","2","1","live","65.59","29.46","95.59","109.46"
"day-2-region-1","2","1","live","65.59","36.49","95.59","116.49"
"day-2-region-1","2","1","live","68.14","22.42","98.14","102.42"
"day-2-region-1","2","1","live","76.82","19.72","106.82","99.72"
"day-2-region-1","2","1","live","75.77","23.47","105.77","103.47"
"day-2-region-1","2","1","live","85.51","19.27","115.51","99.27"
"day-2-region-1","2","1","live","79.82","32.9","109.82","112.9"
"day-2-region-1","2","1","live","82.96","39.64","112.96","119.64"
"day-2-region-1","2","1","live","79.37","49.52","109.37","129.52"
"day-2-region-1","2","1","live","69.93","43.68","99.93","123.68"
"day-2-region-1","2","1","live","72.78","63.15","102.78","143.15"
"day-2-region-1","2","1","live","69.03","66.44","99.03","146.44"
"day-2-region-1","2","1","live","62.75","66.15","92.75","146.15"
"day-2-region-1","2","1","live","64.84","70.79","94.84","150.79"
"day-2-region-1","2","1","live","77.57","75.28","107.57","155.28"
"day-2-region-1","2","1","live","85.66","53.57","115.66","133.57"
"day-2-region-1","2","1","live","85.96","2.65","115.96","82.65"
"day-2-region-1","2","1","live","76.97","2.35","106.97","82.35"
"day-2-region-1","2","1","live","70.98","10.29","100.98","90.29"
"day-2-region-1","2","1","live","64.24","16.13","94.24","96.13"
"day-2-region-1","2","1","live","60.65","11.04","90.65","91.04"
"day-2-region-1","2","1","live","55.86","9.39","85.86","89.39"
"day-2-region-1","2","1","live","53.91","0.55","83.91","80.55"
"day-2-region-1","2","1","live","21.56","45.63","51.56","125.63"
"day-2-region-1","2","1","live","22.31","63.6","52.31","143.6"
"day-2-region-1","2","1","live","9.28","64.8","39.28","144.8"
"day-2-region-1","2","1","live","34.29","73.33","64.29","153.33"
"day-2-region-1","2","1","live","35.64","78.72","65.64","158.72"
"day-2-region-1","2","1","live","48.97","79.77","78.97","159.77"
"day-2-region-1","2","1","live","87.75","79.32","117.75","159.32"
"day-2-region-1","2","1","live","0.6","7.29","30.6","87.29"
"day-2-region-1","2","1","live","47.02","23.62","77.02","103.62"
"day-2-region-1","2","1","live","81.16","80.37","111.16","160.37"
"day-2-region-1","2","1","live","70.38","79.62","100.38","159.62"
"day-2-region-1","2","1","live","44.48","75.28","74.48","155.28"
"day-2-region-1","2","1","live","84.46","70.49","114.46","150.49"
"day-2-region-1","2","1","live","9.13","84.41","39.13","164.41"
"day-2-region-1","2","1","live","6.29","88.91","36.29","168.91"
"day-2-region-1","2","1","live","20.82","80.82","50.82","160.82"
"day-2-region-1","2","1","live","21.86","88.46","51.86","168.46"
"day-2-region-1","2","1","live","29.95","85.01","59.95","165.01"
"day-2-region-1","2","1","live","50.92","87.26","80.92","167.26"
"day-2-region-1","2","1","live","50.92","87.26","80.92","167.26"
"day-2-region-1","2","1","live","65.74","85.61","95.74","165.61"
"day-2-region-1","2","1","live","82.81","60.3","112.81","140.3"
"day-2-region-1","2","1","dead","40.13","40.24","70.13","120.24"
"day-2-region-1","2","1","dead","14.98","43.68","44.98","123.68"
"day-2-region-1","2","1","dead","11.08","55.66","41.08","135.66"
"day-2-region-1","2","1","dead","44.63","61.5","74.63","141.5"
"day-2-region-1","2","1","dead","57.65","48.77","87.65","128.77"
"day-2-region-1","2","1","dead","74.28","48.03","104.28","128.03"
"day-2-region-1","2","1","dead","76.37","38.14","106.37","118.14"
"day-2-region-1","2","1","dead","81.61","24.22","111.61","104.22"
"day-2-region-1","2","1","dead","85.06","34.25","115.06","114.25"
"day-2-region-1","2","1","dead","59","17.78","89","97.78"
"day-2-region-1","2","1","dead","28.75","41.74","58.75","121.74"
"day-2-region-1","2","1","dead","19.62","51.62","49.62","131.62"
"day-2-region-1","2","1","dead","57.35","80.52","87.35","160.52"
"day-2-region-1","2","1","dead","55.26","76.63","85.26","156.63"
"day-2-region-1","2","1","dead","78.92","62.85","108.92","142.85"
"day-2-region-1","2","1","dead","22.61","84.41","52.61","164.41"
"day-2-region-1","2","1","dead","36.99","66","66.99","146"
"day-2-region-1","2","1","dead","59","57.61","89","137.61"
"day-2-region-1","2","1","dead","78.02","9.09","108.02","89.09"
"day-2-region-1","2","1","dead","1.65","30.65","31.65","110.65"
"day-2-region-1","2","1","dead","12.28","14.18","42.28","94.18"
"day-2-region-1","2","1","dead","12.28","19.12","42.28","99.12"
"day-2-region-1","2","1","dead","18.87","24.22","48.87","104.22"
"day-2-region-1","2","1","ambiguous","40.28","85.76","70.28","165.76"
"day-2-region-1","2","1","ambiguous","2.55","70.04","32.55","150.04"
"day-2-region-1","2","1","ambiguous","39.53","58.96","69.53","138.96"
"day-2-region-1","2","1","ambiguous","53.76","57.91","83.76","137.91"
"day-2-region-1","2","1","ambiguous","39.68","21.82","69.68","101.82"
"day-2-region-1","2","1","dead","80.12","70.34","110.12","150.34"
"day-2-region-1","2","1","dead","89.7","65.7","119.7","145.7"
"day-2-region-1","2","1","dead","88.5","46.23","118.5","126.23"
"day-2-region-1","2","1","ambiguous","26.36","38.89","56.36","118.89"
"day-2-region-1","2","1","ambiguous","52.41","17.78","82.41","97.78"
"day-2-region-1","2","1","ambiguous","37.29","10.59","67.29","90.59"
"day-2-region-1","2","1","ambiguous","40.28","3.85","70.28","83.85"
"day-2-region-1","2","1","dead","51.81","40.54","81.81","120.54"
"day-2-region-1","2","1","dead","67.24","82.47","97.24","162.47"
"day-2-region-1","2","1","ambiguous","68.74","32","98.74","112"
"day-2-region-1","2","1","ambiguous","44.78","79.17","74.78","159.17"
